Priority,Brand,Post,Route/Network,Gate,Commission,Cookie,Apply URL,Contact,Placeholder Domain (find on post),# Links to Swap,Notes,STATUS (fill in),Date Applied,Date Approved,Affiliate Link (paste when approved)
2 - BLOCKED (Impact),Cure,electrolytes (#10),Impact marketplace,BLOCKED,20-25% tiered,30d,(Impact-only - declined 2026-07-17),ambassadors@curehydration.com,curehydration.com,1,Impact-ONLY dead-end. No non-Impact route exists. Reapply at Milestone 3.,BLOCKED,-,-,-
1 - JOINABLE NOW,Eargasm,earplugs (#54),Refersion,ungated,up to 15%,?,https://eargasmearplugs.refersion.com/affiliate/registration,,eargasm.com,5,LEAD earplug pick now (Loop is Impact-locked). Most links of any program. Refersion (NOT Impact). START HERE.,,,,
1 - JOINABLE NOW,Anker,packing hub (#61),Rakuten LinkShare (bypasses Impact),ungated*,8%,30d,https://signup.linkshare.com/publishers/registration/landing?mid=43469,affiliate@anker.com,anker.com,1,Use Rakuten LinkShare to bypass Impact. *Rakuten may also gate new sites - try it; if declined wait for M3.,,,,
1 - JOINABLE NOW,Vibedration,hydration (#66),Refersion,ungated,10%,?,https://vibedration.refersion.com/,,vibedration.com,2,Self-serve / near-instant.,,,,
1 - JOINABLE NOW,iEDM,hydration (#66),Refersion,ungated,10%,15d,https://iedm.refersion.com/affiliate,,iedm.com,2,Self-serve. Relink to a specific pack once its hydration stock restocks.,,,,
1 - JOINABLE NOW,Nuun,electrolytes (#10),UpPromote,ungated,5%,30d,https://af.uppromote.com/nuun-official/register,,nuunlife.com,1,$300 minimum payout = low priority.,,,,
1 - JOINABLE NOW,Shiftpod,tent post (NOT WRITTEN yet),in-house,ungated,5% (+2% tier2),365d,https://shiftpod.com/pages/affiliate-terms-and-conditions,,(no post yet),0,Grab when the tent post exists. $250 PayPal threshold. 365-day cookie = best around.,,,,
2 - GATED (reapply M3),Loop,earplugs (#54),Impact,DENIED,~15%,30d,(Impact-only),,us.loopearplugs.com,5,STRANDED - Impact account denied. Reapply at Milestone 3. Don't take worse aggregator terms.,,,,
2 - GATED (reapply M3),Alpine,earplugs (#54),Awin #101957,gated,12.5%,30d,https://alpinehearingprotection.com/pages/affiliate,,alpinehearingprotection.com,3,Awin account has a small refundable fee.,,,,
1 - JOINABLE NOW,Key Nutrients,electrolytes (#10),Rakuten LinkShare,ungated (if Rakuten approved),15-25% sliding,45d,https://signup.linkshare.com/publishers/registration/landing,,keynutrients.com,1,CONFIRMED on Rakuten (its own page). Longest cookie (45d). Search Key Nutrients in Rakuten box.,,,,
2 - GATED (reapply M3),Salomon,hydration+hub (#66/#61),AvantLink #19605,gated,10%,120d,https://www.salomon.com/en-us/lp/g/affiliates,,salomon.com,2,120-day cookie.,,,,
2 - GATED (reapply M3),Klean Kanteen,packing hub (#61),AvantLink,gated,10% tiered,?,https://www.kleankanteen.com/pages/affiliate-program,,kleankanteen.com,1,,,,,
2 - GATED (reapply M3),Helly Hansen,packing hub (#61),AvantLink #18053,gated,10-20%,30d,https://www.hellyhansen.com/en_us/affiliate-program,,hellyhansen.com,1,No PPC allowed.,,,,
2 - GATED (reapply M3),Superfeet,insoles (#68),AvantLink,gated,up to 8%,30d,via AvantLink,,superfeet.com,3,,,,,
2 - GATED (reapply M3),Tread Labs,insoles (#68),AvantLink,gated,mfr default,30d,via AvantLink,,treadlabs.com,3,,,,,
3 - LOW VALUE,Supergoop,packing hub (#61),UNVERIFIED (superstars page = campus ambassador Typeform NOT an affiliate network),unknown,~2% base,30d,(network unconfirmed - verify),,supergoop.com,1,My earlier Rakuten claim was WRONG. Low value (~2%) - skip unless a real program surfaces.,,,,
3 - LOW VALUE,Dr. Scholl's,insoles (#68),FlexOffers,gated,~4%,7d,https://www.flexoffers.com,,drscholls.com,3,Weak (7d cookie). Apply last.,,,,
3 - LOW VALUE,Powerstep,insoles (#68),FlexOffers,gated,~4.5%,15d,https://www.flexoffers.com,,powerstep.com,3,Weak. Apply last.,,,,
3 - LOW VALUE,Liquid I.V.,electrolytes (#10),FlexOffers,gated,~2%,30d,https://www.flexoffers.com,,liquid-iv.com,1,Weak. Apply last.,,,,
4 - CAMPING (high AOV),Outdoorsy,RV (#115) + camping,AvantLink + Tune,gated,~$60/booking (listing ~$80),30d,https://www.outdoorsy.com/affiliate,,outdoorsy.com,1,HIGHEST per-conversion $. New-site bar = reapply M3.,,,,
4 - CAMPING (high AOV),RVshare,RV/camping,CJ,gated,4% + $7/listing (~$36),30d,https://rvshare.com/affiliates,,rvshare.com,0,Alternative to Outdoorsy (pays less).,,,,
4 - CAMPING (high AOV),Hipcamp,camping,AvantLink,gated,~5% (unconfirmed),?,via AvantLink,,hipcamp.com,0,,,,,
X - DO NOT APPLY (keep plain),LMNT,electrolytes (#10),none,no program,-,-,-,-,drinklmnt.com,0,Honest #1 pick with NO program. Stays a plain link (the trust-moat move). Never swap.,PLAIN (permanent),-,-,-
X - DO NOT APPLY (keep plain),DanceSafe,electrolytes+hub,none,by design,-,-,-,-,dancesafe.org,0,Harm-reduction. Non-affiliate by design (REFERENCE rule). Never swap.,PLAIN (permanent),-,-,-
X - DO NOT APPLY (keep plain),Walmart,RV (#115),Impact,$0 grocery/pickup,~0%,-,-,-,walmart.com,0,Pays $0 on grocery/pickup orders. Keep plain (the pickup tip is best advice regardless).,PLAIN (permanent),-,-,-
X - DO NOT APPLY (drop),CamelBak,hydration (#66),Impact,DROP,8%,7d,-,-,camelbak.com,2,Impact-only + 7-day cookie = near-worthless. Drop it.,DROP,-,-,-
